64 	4397.206 4578.12468333 4659.341 4440.0701 4513.7225 4614.77 4629.4635 4640.751 75.6648751801 1048576
128 	5915.17 6013.03573333 6035.964 5952.84975 6015.7185 6021.978 6027.951 6033.966 27.1771559119 1048576
256 	6015.984 6101.14541667 6305.694 6058.4828 6095.65425 6101.898 6109.11325 6115.884 33.0110964244 1048576
512 	5585.415 5987.80246667 6153.846 5689.6928 5743.1985 6127.3095 6137.11275 6147.9519 199.089305414 1048576
1024 	5592.408 5986.32148333 6189.81 5717.1474 5734.51575 6131.3685 6165.792 6183.90665 209.613777063 1048576
2048 	5971.058 6126.59421667 6161.838 6078.74605 6105.3945 6139.721 6148.10175 6156.89295 33.951587605 1048576
4096 	6021.956 6195.3959 6221.778 6170.5592 6187.812 6200.2995 6208.635 6216.8221 26.7285759121 1048576
8192 	6085.743 6147.63271667 6166.833 6130.59565 6143.82025 6148.851 6153.846 6162.8788 12.0708130948 1048576
16384 	6016.983 6147.62843333 6181.818 6126.747 6142.857 6150.3495 6156.55375 6167.832 20.4739109058 1048576
32768 	5688.312 6082.13458333 6190.619 5784.6805 6143.713 6165.669 6173.0335 6185.7787 159.506789205 1048576
