64 	152.695 153.171483333 154.845 152.695 152.847 152.847 153.693 153.846 0.539928868515 1048576
128 	306.387 306.948283333 308.691 306.387 306.6165 306.693 307.385 307.692 0.536237201608 1048576
256 	614.158 615.348983333 616.384 614.386 614.77 615.385 615.768 616.384 0.615354707782 1048576
512 	1231.768 1234.04296667 1236.763 1232.535 1233.533 1234.1485 1234.765 1235.529 0.983319818551 1048576
1024 	2427.572 2435.4907 2439.56 2430.14 2434.8805 2435.564 2436.563 2438.561 2.25169978979 1048576
2048 	3766.234 3971.6108 3993.007 3958.04695 3971.05075 3976.5235 3985.276 3991.00945 32.5896908167 1048576
4096 	3751.249 3980.49851667 3994.006 3968.93275 3984.032 3988.012 3991.009 3993.007 35.7814457694 1048576
8192 	3938.062 4156.22913333 4168.831 4151.84045 4160.4295 4162.675 4164.835 4167.832 33.1266940772 1048576
16384 	3675.972 4293.57715 4329.67 4161.33095 4313.60775 4323.353 4325.674 4328.671 110.335780331 1048576
32768 	3913.087 4160.18901667 4178.821 4121.3906 4165.79275 4170.659 4172.827 4176.823 42.9305606002 1048576
