64 	86.561 162.363 316.127 102.002 116.36 152.361 215.249 235.425 0.0 1048576
128 	9.542 19.683 279.488 15.161 16.709 17.959 19.471 46.426 0.0 1048576
256 	3.128 9.806 261.003 6.759 8.021 8.956 9.986 34.28 0.0 1048576
512 	2.084 7.273 192.586 4.213 5.549 6.742 8.217 14.288 0.0 1048576
1024 	1.979 6.568 229.983 3.595 4.966 6.145 7.526 12.181 0.0 1048576
2048 	1.956 6.878 212.311 3.888 5.172 6.284 7.589 12.695 0.0 1048576
4096 	1.897 6.331 161.306 3.681 4.839 5.841 7.02 11.855 0.0 1048576
8192 	1.822 5.801 123.212 3.482 4.532 5.428 6.456 10.542 0.0 1048576
16384 	1.914 5.899 104.627 3.581 4.684 5.607 6.659 10.675 0.0 1048576
32768 	1.892 6.5 98.887 3.85 5.108 6.158 7.446 12.333 0.0 1048576
