64 	3962.076 4434.16616393 4494.012 4393.606 4433.134 4446.108 4460.08 4483.516 69.8148323649 1048576
128 	5386.228 5831.75731148 5935.065 5757.485 5804.391 5852.295 5877.123 5902.098 84.6005172632 1048576
256 	5806.387 5955.42865574 5995.005 5910.18 5948.052 5961.039 5972.056 5993.007 30.6199470687 1048576
512 	5825.175 5987.98880328 6057.884 5912.088 5945.055 6001.998 6024.975 6053.946 49.2591076744 1048576
1024 	5858.142 6020.20421311 6069.93 5987.026 6010.989 6024.975 6033.966 6052.894 29.7104462101 1048576
2048 	5918.164 6050.66909836 6089.91 6008.982 6038.961 6053.946 6065.934 6076.923 25.1557747968 1048576
4096 	5904.096 6053.1075082 6108.891 5999.002 6033.932 6062.874 6079.92 6091.908 35.9518777141 1048576
8192 	6021.956 6075.95863934 6103.896 6040.918 6067.864 6076.846 6085.914 6098.901 16.4899191053 1048576
16384 	6027.944 6075.51660656 6114.885 6047.856 6061.876 6079.84 6084.915 6106.893 17.0891410227 1048576
32768 	5980.04 6101.49711475 6144.711 6034.965 6087.912 6108.891 6123.876 6137.862 32.0805414012 1048576
