32 	2435.985 2657.91267213 2670.195 2631.757 2662.696 2664.63 2666.324 2669.227 30.6259948981 1048576
64 	2464.57 2658.27668852 2671.247 2628.939 2663.504 2666.408 2667.614 2670.279 28.1743745531 1048576
128 	2468.156 2656.8602623 2666.816 2629.105 2661.736 2662.704 2664.64 2666.576 26.471894188 1048576
256 	2465.563 2658.45740984 2670.784 2633.999 2664.25 2666.184 2667.152 2668.848 28.6767322666 1048576
512 	2487.486 2662.98262295 2674.362 2628.853 2666.856 2669.52 2671.457 2672.66 25.4434786821 1048576
1024 	2389.926 2660.49001639 2676.678 2635.295 2666.99 2669.897 2671.103 2672.803 36.795629043 1048576
2048 	2485.427 2665.464 2676.699 2640.584 2669.918 2672.585 2673.793 2675.494 26.7474604868 1048576
4096 	2417.08 2659.77208197 2672.133 2641.315 2666.554 2668.495 2670.189 2671.161 33.8638658795 1048576
8192 	2473.113 2681.04281967 2693.595 2655.548 2686.034 2687.742 2689.693 2691.644 29.081962086 1048576
16384 	2613.211 2702.84539344 2715.144 2669.492 2707.522 2710.227 2712.194 2714.161 19.7440174349 1048576
32768 	2590.41 2745.75929508 2758.242 2706.879 2750.499 2753.247 2755.245 2756.244 24.8518518077 1048576
