32 	3615.04 3884.6432459 3914.763 3884.8 3889.625 3892.543 3896.414 3906.092 46.7817339009 1048576
64 	3628.69 3910.4717377 3929.443 3883.946 3914.926 3918.797 3922.668 3928.476 41.2945769916 1048576
128 	3602.539 3898.45829508 3921.948 3892.911 3907.397 3909.331 3913.199 3918.076 52.640938967 1048576
256 	3623.574 3857.67352459 3881.785 3843.064 3860.504 3863.392 3868.232 3873.075 34.5496171508 1048576
512 	3600.996 3848.93644262 3883.731 3845.032 3850.81 3853.738 3858.556 3868.239 36.99192719 1048576
1024 	3603.086 3876.94419672 3923.469 3850.812 3874.067 3878.906 3886.656 3915.719 44.0560144759 1048576
2048 	3575.714 3816.3992459 3834.326 3814.999 3822.749 3824.687 3826.624 3832.386 41.189109201 1048576
4096 	3580.967 3945.81611475 3974.19 3933.336 3954.692 3958.575 3961.558 3969.253 59.7882725413 1048576
8192 	3611.623 3918.54668852 3948.2 3910.148 3918.933 3928.688 3936.493 3943.322 49.5433605495 1048576
16384 	3632.953 3959.72645902 3995.52 3874.626 3968.937 3971.919 3974.869 3980.769 53.9849260842 1048576
32768 	3669.661 3978.2834918 4001.998 3929.071 3986.014 3990.02 3994.006 3999.002 50.143805498 1048576
