32 	4.968 24.017 66.136 17.564 20.923 23.779 26.678 34.821 0.0 1048576
64 	5.234 23.781 74.717 17.654 20.831 23.513 26.328 34.079 0.0 1048576
128 	4.952 23.775 63.146 17.34 20.642 23.546 26.373 34.497 0.0 1048576
256 	4.079 23.884 73.697 17.479 20.854 23.646 26.544 34.753 0.0 1048576
512 	4.773 24.885 76.468 18.437 22.098 24.595 27.503 34.756 0.0 1048576
1024 	8.23 24.952 73.229 18.465 22.104 24.632 27.578 35.06 0.0 1048576
2048 	8.643 24.644 66.406 18.32 21.617 24.422 27.232 34.935 0.0 1048576
4096 	11.862 23.462 75.831 17.513 20.398 23.153 25.97 34.11 0.0 1048576
8192 	4.672 25.788 66.388 19.035 22.837 25.568 28.586 35.952 0.0 1048576
16384 	7.483 26.052 79.945 19.62 23.222 25.848 28.714 35.766 0.0 1048576
32768 	4.235 24.969 80.028 18.52 22.084 24.666 27.59 35.287 0.0 1048576
