32 	4078.921 4250.63378049 4442.116 4097.902 4191.617 4228.543 4317.682 4424.152 95.118256742 1048576
64 	4079.84 4232.94431707 4402.196 4087.912 4140.859 4257.742 4286.713 4354.291 90.1515933297 1048576
128 	4167.832 4319.35239024 4419.162 4193.613 4293.706 4344.311 4356.643 4399.202 63.5744226986 1048576
256 	4057.942 4269.48995122 4468.531 4085.914 4174.651 4271.728 4364.271 4428.144 111.819110477 1048576
512 	4177.468 4313.54080488 4437.562 4248.751 4269.461 4303.393 4350.649 4418.164 56.1362403992 1048576
1024 	4153.693 4293.98297561 4391.218 4210.579 4262.737 4287.712 4337.325 4378.244 53.5164095247 1048576
2048 	3925.224 4170.8264878 4265.469 4048.902 4151.697 4183.633 4212.787 4243.513 68.7111187896 1048576
4096 	4064.87 4253.57036585 4353.293 4145.854 4232.535 4259.481 4290.419 4341.317 59.9454136677 1048576
8192 	3856.287 4091.49378049 4428.144 3881.119 3934.132 4084.83 4227.545 4371.257 166.219947704 1048576
16384 	3954.092 4065.963 4292.415 3963.037 3995.01 4033.932 4100.798 4244.511 97.0705054049 1048576
32768 	4141.717 4237.74841463 4399.6 4145.709 4197.605 4237.762 4274.725 4343.313 63.5002749938 1048576
