1 	71.68 71.9095172414 72.704 71.68 71.68 71.68 71.68 72.704 0.427021651772 0
2 	140.288 141.401824561 142.336 140.288 141.312 141.312 141.312 142.336 0.584343119667 0
4 	278.528 279.983157895 280.576 279.552 279.552 279.552 280.576 280.576 0.540740875436 0
8 	536.576 537.869473684 539.648 536.576 537.6 537.6 538.624 538.624 0.705451705616 0
16 	967.68 974.093473684 999.424 967.68 969.728 971.776 973.824 992.4608 7.36302838656 0
32 	1821.696 1831.45094737 1845.248 1825.5872 1829.888 1830.912 1833.984 1836.4416 3.79820903511 0
64 	3033.088 3042.55550877 3050.496 3035.9552 3040.256 3043.328 3045.376 3048.448 3.69597236036 0
128 	5320.704 5334.68070175 5367.808 5326.4384 5331.968 5335.04 5337.088 5338.112 5.95698721086 0
256 	7296.0 7317.89922807 7383.04 7303.3728 7314.432 7319.552 7321.6 7322.624 10.8721713692 0
512 	8902.656 8924.08814035 9057.28 8905.728 8909.824 8913.92 8931.328 8968.192 26.4276377391 0
1024 	10057.728 10088.4300351 10141.696 10081.28 10082.304 10085.376 10087.424 10119.168 13.3946463068 0
2048 	10838.016 10878.5807719 10931.2 10854.8096 10874.88 10883.072 10883.072 10885.5296 13.479886666 0
4096 	11303.936 11352.0280702 11361.28 11325.44 11353.088 11357.184 11357.184 11357.5936 11.4204573723 0
8192 	11537.408 11566.7626667 11573.248 11563.008 11565.056 11565.056 11573.248 11573.248 5.61960145098 0
