32 	13.626 14.0376393443 15.159 13.791 13.926 14.04 14.123 14.29 0.203977018377 32
64 	27.964 28.9741803279 30.799 28.286 28.873 28.992 29.122 29.304 0.361266647274 64
128 	55.025 55.8580819672 57.748 55.226 55.707 55.847 56.021 56.451 0.40078465233 128
256 	75.999 109.262442623 114.694 108.82 109.346 109.73 110.036 110.649 4.37562258811 256
512 	156.9 220.653196721 233.211 219.142 220.699 221.29 222.275 223.092 8.54774432487 512
1024 	442.212 449.849213115 481.148 444.546 448.211 449.519 451.098 454.973 4.91121085238 1024
2048 	848.979 862.012131148 919.009 853.912 857.89 860.105 863.162 874.177 9.45364432544 2048
4096 	1363.894 1855.71732787 2317.777 1786.803 1790.723 1799.497 1937.344 2017.442 119.216179353 4096
8192 	3962.241 4002.33793443 4038.953 3970.263 3987.548 3999.789 4020.935 4036.643 20.8415075411 8192
16384 	5336.257 5387.0067541 5437.797 5358.876 5371.207 5384.232 5401.416 5426.163 21.0733464814 16384
32768 	6141.093 6217.39563934 6255.12 6200.911 6207.585 6214.535 6227.451 6245.942 20.0294453775 32768
65536 	6587.138 6651.23054098 6676.386 6618.208 6645.147 6652.785 6662.425 6670.846 17.0464349492 65536
131072 	6667.914 6902.89714754 6951.923 6844.187 6876.622 6920.33 6932.817 6946.233 44.9182929364 131072
262144 	6853.792 7002.35936066 7038.711 6960.329 6984.281 7015.22 7029.221 7036.464 39.0108179024 262144
524288 	6788.212 7053.45604918 7309.191 6971.029 7013.446 7032.934 7090.41 7180.32 77.0275248859 524288
1048576 	6752.248 7035.38090164 7288.423 6772.228 6793.413 7057.884 7216.783 7276.447 199.458902931 1048576
2097152 	6541.294 6936.8867541 7103.792 6674.651 6713.287 7016.983 7064.935 7096.903 166.755142111 2097152
4194304 	6394.422 6624.71439344 6821.179 6453.546 6513.487 6646.707 6718.563 6801.199 121.585950736 4194304
