64 	1.267 1.30490163934 1.31 1.302 1.304 1.305 1.307 1.308 0.00532148419465 64
128 	2.581 2.63032786885 2.641 2.622 2.628 2.632 2.635 2.639 0.00850982327546 128
256 	5.057 5.1241147541 5.147 5.09 5.117 5.127 5.136 5.145 0.0173848420509 256
512 	10.012 10.3668688525 10.421 10.346 10.362 10.373 10.388 10.414 0.0546615444318 512
1024 	20.709 20.838295082 20.913 20.754 20.805 20.847 20.876 20.899 0.0461438748799 1024
2048 	40.634 41.6075245902 41.8 41.431 41.54 41.623 41.714 41.749 0.16134349942 2048
4096 	79.013 79.5223114754 79.889 79.307 79.396 79.495 79.666 79.801 0.175355614417 4096
8192 	153.401 155.750360656 156.453 155.337 155.61 155.766 155.977 156.133 0.404753559216 8192
16384 	304.539 310.901934426 312.016 310.145 310.738 311.05 311.282 311.657 0.942114918834 16384
32768 	555.14 562.419901639 564.404 561.034 561.72 562.656 563.093 564.186 1.30649325038 32768
65536 	1049.775 1056.35562295 1059.565 1053.838 1055.077 1056.325 1057.755 1059.191 1.84493211181 65536
131072 	1764.457 1785.45070492 1793.706 1777.972 1783.841 1786.089 1789.211 1791.708 5.68602091225 131072
262144 	2647.206 2697.31498361 2703.047 2691.558 2697.355 2699.301 2700.549 2701.798 7.8350176237 262144
524288 	3534.965 3634.3164918 3644.356 3632.602 3635.864 3637.363 3638.362 3641.359 16.3222507495 524288
1048576 	3808.192 3971.05622951 3984.016 3967.066 3972.056 3976.024 3978.022 3980.02 23.7667194039 1048576
2097152 	3766.234 3880.29445902 3892.108 3870.13 3882.236 3884.116 3886.114 3888.112 19.1879433367 2097152
4194304 	3756.487 3880.03309836 3896.104 3812.188 3884.232 3888.224 3892.108 3896.104 27.0327435103 4194304
